availability,size,total_sqft,bath,balcony,price,location
Ready To Move,2 BHK,995,2,1,55.712,Lalitpur
Ready To Move,2 BHK,900,1,1,70.4,Lalitpur
Ready To Move,2 BHK,1140,2,1,67.2,Bhaktapur
Ready To Move,3 BHK,1480,2,2,200,Bhaktapur
18-May,3 BHK,1710,2,2,145.008,Lalitpur
21-Dec,3 BHK,2106,3,3,236.8,Kathmandu
Ready To Move,9 Bedroom,2400,6,,432,Bhaktapur
Ready To Move,3 Bedroom,3800,2,,208,Bhaktapur
Ready To Move,3 Bedroom,800,3,2,192,Bhaktapur
Ready To Move,2 BHK,1602,2,,166.4,Kathmandu
Ready To Move,3 BHK,1660,2,2,185.6,Lalitpur
Ready To Move,3 BHK,1549,3,2,128,Lalitpur
19-Mar,1 BHK,700,1,1,60.8,Kathmandu
18-Dec,2 BHK,1012,2,1,102.4,Lalitpur
19-Dec,3 BHK,1469,3,1,142.4,Bhaktapur
18-Aug,2 BHK,1216,2,1,110.4,Bhaktapur
Ready To Move,2 BHK,1065,2,1,89.808,Kathmandu
19-Mar,3 BHK,1411,3,1,149.04,Bhaktapur
Ready To Move,2 BHK,1400,2,2,92,Bhaktapur
Ready To Move,3 BHK,1250,3,2,46.4,Bhaktapur
Ready To Move,2 BHK,1245,2,3,99.2,Lalitpur
Ready To Move,2 BHK,1115,2,1,80,Kathmandu
Ready To Move,2 BHK,1000,2,1,56,Lalitpur
18-Mar,3 BHK,1565 - 1595,3,0,115.024,Kathmandu
Ready To Move,3 BHK,1800,3,2,144,Lalitpur
Ready To Move,2 BHK,1500,2,2,208,Kathmandu
18-Sep,1 BHK,645,1,1,26.32,Lalitpur
18-Jun,3 BHK,1275,3,2,70.4,Kathmandu
Ready To Move,3 BHK,1494,3,2,131.2,Kathmandu
Ready To Move,3 BHK,1949,3,2,206.4,Lalitpur
Ready To Move,2 BHK,1020,2,1,74.4,Lalitpur
Ready To Move,2 BHK,883,2,1,72,Bhaktapur
Ready To Move,4 BHK,3200,4,,448,Lalitpur
Ready To Move,6 Bedroom,1680,6,1,200,Kathmandu
Ready To Move,12 Bedroom,2232,6,2,480,Lalitpur
Ready To Move,3 BHK,2010,3,3,200,Bhaktapur
Ready To Move,2 BHK,1240,2,2,128,Lalitpur
Ready To Move,2 BHK,1213,2,1,100.8,Bhaktapur
Ready To Move,3 BHK,1835,3,3,140.8,Kathmandu
Ready To Move,9 Bedroom,1800,10,3,296,Kathmandu
Ready To Move,4 BHK,2932,5,,312,Bhaktapur
Ready To Move,4 Bedroom,3425,5,2,400,Bhaktapur
Ready To Move,2 BHK,945,2,0,72,Lalitpur
Ready To Move,3 BHK,1504,2,2,160,Bhaktapur
Ready To Move,3 BHK,1569,3,2,240,Lalitpur
Ready To Move,3 BHK,1755,3,2,208,Kathmandu
Ready To Move,3 BHK,1760,3,,224,Bhaktapur
18-May,2 BHK,1240,2,3,70.304,Bhaktapur
19-Dec,3 BHK,1450,3,2,116.064,Kathmandu
Ready To Move,2 BHK,1000,2,0,76.8,Kathmandu
Ready To Move,1 Bedroom,3820,1,1,489.6,Bhaktapur
Ready To Move,5 BHK,2000,4,2,232,Lalitpur
Ready To Move,2 BHK,1215,2,2,94.4,Bhaktapur
Ready To Move,5 Bedroom,24Guntha,6,2,880,Kathmandu
Ready To Move,3 BHK,1330,3,3,117.6,Bhaktapur
18-Aug,2 BHK,1178,2,1,120,Kathmandu
18-Aug,4 Bedroom,1500,4,3,307.2,Bhaktapur
Ready To Move,2 BHK,2040,2,2,94.4,Lalitpur
18-Mar,3 BHK,2000,3,2,136,Kathmandu
18-May,3 BHK,1602,2,1,264,Lalitpur
Ready To Move,4 Bedroom,1200,4,1,208,Kathmandu
Ready To Move,2 BHK,1194,2,2,73.6,Bhaktapur
Ready To Move,3 BHK,1800,3,1,352,Kathmandu
Ready To Move,3 Bedroom,2400,2,1,243.2,Kathmandu
Ready To Move,3 BHK,1700,3,3,172.8,Bhaktapur
Ready To Move,3 BHK,1200,3,2,104,Bhaktapur
Ready To Move,3 Bedroom,1500,3,0,115.2,Bhaktapur
Ready To Move,3 Bedroom,1240,3,2,264,Bhaktapur
Ready To Move,3 Bedroom,3000,3,2,640,Bhaktapur
Ready To Move,3 BHK,1737,3,3,136,Lalitpur
Ready To Move,2 Bedroom,900,2,0,88,Bhaktapur
Ready To Move,3 BHK,1280,2,1,76.8,Lalitpur
Ready To Move,2 BHK,1560,2,2,136,Lalitpur
Ready To Move,2 BHK,883,2,1,70.4,Bhaktapur
Ready To Move,2 BHK,750,2,1,52.8,Bhaktapur
Ready To Move,4 BHK,2400,3,3,224,Bhaktapur
Ready To Move,2 BHK,900,2,1,72,Lalitpur
Ready To Move,2 BHK,1030,2,1,78.96,Bhaktapur
Ready To Move,3 BHK,1850,3,2,248,Lalitpur
Ready To Move,3 BHK,1831,3,1,176,Lalitpur
Ready To Move,2 BHK,1095,2,1,61.328,Bhaktapur
18-Jul,3 BHK,1320,2,1,61.008,Bhaktapur
Ready To Move,3 BHK,1270 - 1275,2,0,65.152,Bhaktapur
Ready To Move,2 BHK,1000,2,1,97.6,Kathmandu
Ready To Move,3 BHK,1820,3,2,136.64,Lalitpur
Ready To Move,3 BHK,1075,2,1,65.6,Lalitpur
18-May,3 Bedroom,1500,3,0,132.8,Lalitpur
Ready To Move,1 RK,360,1,0,27.04,Lalitpur
Ready To Move,1 BHK,840 - 1010,1,0,65.12,Bhaktapur
21-Dec,2 BHK,1140,2,1,113.488,Lalitpur
18-Oct,2 BHK,1145,2,2,93.44,Lalitpur
Ready To Move,3 BHK,1862,3,3,192,Lalitpur
Ready To Move,2 BHK,947,2,2,68.8,Bhaktapur
Ready To Move,4 BHK,697Sq. Meter,4,2,337.6,Kathmandu
Ready To Move,3 Bedroom,700,3,2,312,Bhaktapur
Ready To Move,2 BHK,1120,2,2,64,Kathmandu
Ready To Move,3 BHK,2700,3,3,320,Lalitpur
Ready To Move,3 BHK,1805,2,2,120,Lalitpur
Ready To Move,2 BHK,1100,2,3,148.8,Kathmandu
Ready To Move,4 Bedroom,1355,3,0,216,Kathmandu
18-Dec,3 BHK,1677,3,2,156.8,Bhaktapur
Ready To Move,8 Bedroom,2500,8,3,152,Bhaktapur
Ready To Move,3 BHK,1560,3,3,118.4,Bhaktapur
Ready To Move,3 BHK,2060,3,2,240,Kathmandu
Ready To Move,3 BHK,1716,2,0,184,Lalitpur
Ready To Move,3 BHK,1864,3,1,224,Bhaktapur
Ready To Move,1 BHK,638,1,1,51.2,Lalitpur
Ready To Move,9 Bedroom,1200,7,3,152,Kathmandu
Ready To Move,8 BHK,1150,9,,272,Kathmandu
18-Dec,2 BHK,937,2,1,48,Bhaktapur
Ready To Move,3 BHK,1490,2,1,184,Lalitpur
Ready To Move,4 BHK,4856,5,3,656,Bhaktapur
Ready To Move,4 Bedroom,4003,6,1,840,Lalitpur
17-May,2 BHK,1100,2,1,59.2,Kathmandu
Ready To Move,2 BHK,1000,2,2,77.648,Lalitpur
Ready To Move,2 BHK,1060,2,1,59.2,Kathmandu
Ready To Move,2 BHK,1047,2,1,145.6,Kathmandu
Ready To Move,2 BHK,1200,2,2,128,Lalitpur
Ready To Move,3 BHK,1420,2,2,120,Bhaktapur
Ready To Move,3 BHK,1539,3,,136,Lalitpur
Ready To Move,3 BHK,1550,3,1,94.4,Kathmandu
Ready To Move,3 BHK,1555,3,3,131.2,Bhaktapur
Ready To Move,7 Bedroom,600,6,2,220.8,Kathmandu
Ready To Move,3 BHK,1553,3,3,108.8,Kathmandu
Ready To Move,2 BHK,920,2,2,41.6,Bhaktapur
Ready To Move,3 BHK,1740,3,3,192,Lalitpur
Ready To Move,3 BHK,1855,3,2,232,Kathmandu
18-Mar,3 BHK,1724,3,1,233.6,Lalitpur
Ready To Move,2 BHK,1020,2,2,96,Bhaktapur
Ready To Move,6 Bedroom,1000,4,2,240,Bhaktapur
Ready To Move,3 BHK,1250,2,1,80,Kathmandu
Ready To Move,3 BHK,1450,3,2,120,Lalitpur
Ready To Move,2 BHK,1200,2,2,128,Kathmandu
Ready To Move,2 BHK,1140,2,2,92.8,Kathmandu
Ready To Move,5 Bedroom,900,5,2,176,Lalitpur
Ready To Move,1 BHK,550,1,1,25.6,Kathmandu
17-Oct,3 BHK,1450,3,1,70.4,Bhaktapur
Immediate Possession,,1500,,,40.784,Bhaktapur
21-Dec,2 BHK,700,2,1,56.112,Kathmandu
18-Jul,3 Bedroom,1200,3,1,89.6,Kathmandu
Ready To Move,2 BHK,1050,2,1,72,Lalitpur
Ready To Move,3 BHK,1600,3,3,110.4,Lalitpur
Ready To Move,3 BHK,1625,2,3,120,Kathmandu
Ready To Move,2 BHK,1492,2,2,104,Bhaktapur
18-Dec,4 BHK,2830 - 2882,5,0,252,Lalitpur
Ready To Move,3 BHK,1489,2,3,131.2,Kathmandu
Ready To Move,3 BHK,1560,2,2,99.808,Lalitpur
Ready To Move,2 BHK,1140,2,2,67.2,Bhaktapur
Ready To Move,3 BHK,1431,3,2,104,Kathmandu
Ready To Move,3 BHK,1682,3,1,182.4,Lalitpur
18-Feb,2 BHK,1198,2,1,138.016,Bhaktapur
18-May,3 Bedroom,3664,3,2,520,Bhaktapur
Ready To Move,3 BHK,1550,2,2,111.6,Lalitpur
Ready To Move,2 BHK,1026,2,1,72,Bhaktapur
Ready To Move,3 BHK,1260,2,2,83.2,Bhaktapur
Ready To Move,2 Bedroom,690,2,0,67.2,Kathmandu
Ready To Move,1 BHK,539,1,1,72,Bhaktapur
Ready To Move,4 Bedroom,1200,4,1,136,Lalitpur
Ready To Move,3 Bedroom,2400,3,3,192,Bhaktapur
Ready To Move,2 BHK,1200,2,2,127.28,Lalitpur
Ready To Move,4 Bedroom,2500,5,2,560,Kathmandu
Ready To Move,3 BHK,1186,2,2,64,Bhaktapur
Ready To Move,2 BHK,1039,2,2,63.2,Kathmandu
Ready To Move,4 Bedroom,1500,5,3,372.8,Lalitpur
Ready To Move,5 Bedroom,1500,4,1,160,Lalitpur
Ready To Move,3 BHK,2520,3,2,240,Lalitpur
Ready To Move,2 BHK,1225,2,2,106.4,Kathmandu
Ready To Move,2 BHK,1350,2,2,115.2,Lalitpur
Ready To Move,2 BHK,1030,2,2,480,Bhaktapur
Ready To Move,3 BHK,1550,2,2,79.36,Lalitpur
Ready To Move,3 BHK,1490,3,2,126.4,Lalitpur
Ready To Move,3 BHK,1520,3,2,177.6,Lalitpur
Ready To Move,4 Bedroom,4100,4,,880,Kathmandu
Ready To Move,3 BHK,1391,2,3,103.2,Kathmandu
Ready To Move,2 BHK,1200,2,2,80,Lalitpur
Ready To Move,4 Bedroom,1200,4,2,137.6,Kathmandu
Ready To Move,5 Bedroom,2500,6,3,800,Bhaktapur
Ready To Move,2 BHK,1322,2,2,128,Kathmandu
19-Dec,3 BHK,2173,3,2,204.8,Kathmandu
Ready To Move,2 BHK,1200,2,2,120,Lalitpur
Ready To Move,2 BHK,1200,2,2,75.2,Bhaktapur
Ready To Move,2 BHK,1170,2,2,104,Bhaktapur
17-Dec,2 BHK,1125,2,2,72.896,Bhaktapur
18-May,1 BHK,655 - 742,1,0,45.712,Kathmandu
Ready To Move,2 BHK,1250,2,2,144,Kathmandu
19-Dec,2 BHK,1025,2,2,44.288,Bhaktapur
Ready To Move,3 BHK,1075,2,2,57.6,Bhaktapur
Ready To Move,3 BHK,1900,2,2,304,Lalitpur
Ready To Move,3 BHK,1435,3,2,72,Bhaktapur
18-Dec,2 BHK,1175,2,2,103.968,Lalitpur
Ready To Move,3 BHK,1464,3,2,89.6,Kathmandu
Ready To Move,2 BHK,900,2,1,52.8,Kathmandu
Ready To Move,1 BHK,585,1,1,33.6,Kathmandu
Ready To Move,4 Bedroom,3170,5,2,368,Kathmandu
18-May,3 BHK,1602,2,1,272,Lalitpur
Ready To Move,2 BHK,1220,2,2,67.2,Lalitpur
Ready To Move,3 BHK,2500,3,3,560,Bhaktapur
Ready To Move,3 BHK,2145,3,3,288,Bhaktapur
Ready To Move,2 BHK,960,2,3,92.8,Kathmandu
Ready To Move,1 BHK,907,1,1,60.8,Lalitpur
Ready To Move,2 BHK,1210,2,1,118.4,Bhaktapur
Ready To Move,4 Bedroom,900,4,1,240,Lalitpur
Ready To Move,2 BHK,1230,2,2,112,Lalitpur
Ready To Move,3 BHK,1350,2,1,120,Lalitpur
Ready To Move,2 BHK,1150,2,2,92.8,Lalitpur
19-Apr,3 BHK,1404,2,0,85.36,Bhaktapur
Ready To Move,2 BHK,1050,2,3,76.8,Kathmandu
Ready To Move,8 Bedroom,1020,10,0,248,Lalitpur
Ready To Move,2 BHK,1285,2,2,89.6,Kathmandu
Ready To Move,2 BHK,1018,2,1,81.28,Bhaktapur
Ready To Move,3 Bedroom,1200,3,2,91.2,Lalitpur
Ready To Move,2 BHK,1115,2,2,80,Kathmandu
Ready To Move,3 BHK,1600,3,3,152,Bhaktapur
21-Sep,2 BHK,1480,2,1,128,Lalitpur
Ready To Move,5 Bedroom,2500,7,0,200,Lalitpur
Ready To Move,1 BHK,480,1,1,40,Kathmandu
Ready To Move,3 BHK,1435,3,3,84.8,Bhaktapur
Ready To Move,1 BHK,450,1,2,96,Kathmandu
Ready To Move,1 BHK,600,2,0,36.8,Kathmandu
Ready To Move,3 BHK,1590,2,3,136,Lalitpur
Immediate Possession,,800 - 2660,,,45.672,Kathmandu
Ready To Move,2 BHK,936,2,0,64.32,Lalitpur
Ready To Move,2 BHK,1181,2,1,120,Lalitpur
18-Apr,3 BHK,1741,3,2,128,Lalitpur
19-Dec,3 BHK,1750,3,1,196.8,Kathmandu
Ready To Move,2 BHK,1050,2,2,68.32,Lalitpur
17-Dec,2 BHK,1027,2,1,96,Kathmandu
Ready To Move,2 BHK,596,2,1,35.2,Kathmandu
Ready To Move,4 BHK,3463,6,0,496,Lalitpur
Ready To Move,3 BHK,1600,3,2,112,Lalitpur
19-Mar,4 BHK,2790,5,3,316.8,Lalitpur
Ready To Move,2 BHK,1000,2,1,96,Lalitpur
18-Apr,2 BHK,1120,2,2,70.784,Lalitpur
Ready To Move,2 Bedroom,1200,2,0,136,Kathmandu
18-Jun,2 BHK,1200,2,2,56,Lalitpur
Ready To Move,3 BHK,1570,3,2,176,Lalitpur
Ready To Move,3 BHK,1500,3,1,216,Kathmandu
Ready To Move,2 BHK,1315,2,2,224,Lalitpur
18-Apr,2 BHK,1140,2,1,54.144,Lalitpur
Ready To Move,2 BHK,1105,2,2,144,Bhaktapur
18-Dec,2 BHK,1200,2,1,55.44,Lalitpur
18-Dec,1 BHK,905,1,1,99.2,Kathmandu
Ready To Move,4 Bedroom,2400,4,0,560,Lalitpur
Ready To Move,2 BHK,1185,2,1,80,Lalitpur
Ready To Move,2 BHK,1083,2,1,160,Bhaktapur
Ready To Move,3 BHK,1458,3,2,96,Kathmandu
Ready To Move,3 BHK,1555,3,2,120,Kathmandu
Ready To Move,2 BHK,1200,2,2,72,Kathmandu
Ready To Move,2 BHK,1308,2,1,94.176,Kathmandu
Ready To Move,2 BHK,1024,2,2,70.4,Kathmandu
Ready To Move,2 BHK,1194,2,2,75.2,Bhaktapur
Ready To Move,3 BHK,1450,3,1,120,Bhaktapur
Ready To Move,3 BHK,1639,3,3,192,Kathmandu
19-Jun,3 BHK,1870,3,2,220.8,Bhaktapur
18-Oct,2 BHK,1232,2,1,139.2,Kathmandu
Ready To Move,3 BHK,1719,3,1,294.4,Lalitpur
18-May,2 BHK,975,2,1,39.776,Kathmandu
Ready To Move,3 BHK,2000,4,,208,Lalitpur
Ready To Move,2 BHK,1230,2,1,126.4,Kathmandu
Ready To Move,4 Bedroom,1350,4,2,224,Bhaktapur
Ready To Move,2 BHK,1076,2,2,107.2,Bhaktapur
Ready To Move,7 Bedroom,2400,7,1,200,Bhaktapur
Ready To Move,3 BHK,995,2,2,55.712,Kathmandu
Ready To Move,3 BHK,2120,3,2,283.2,Lalitpur
Ready To Move,6 Bedroom,2400,7,,736,Lalitpur
Ready To Move,6 Bedroom,850,6,2,124.8,Kathmandu
Ready To Move,2 BHK,1096,2,2,64.88,Bhaktapur
Ready To Move,2 BHK,1107.83,2,1,66.416,Bhaktapur
Ready To Move,1 BHK,505,1,0,136,Lalitpur
Ready To Move,2 BHK,1320,2,2,184,Lalitpur
19-Mar,3 BHK,1408 - 1455,3,0,115.232,Kathmandu
18-Feb,2 BHK,1320,2,1,158.816,Kathmandu
Ready To Move,3 BHK,2901,4,2,304,Kathmandu
Ready To Move,3 BHK,1315,2,2,104,Bhaktapur
Ready To Move,2 BHK,1000,2,1,70.4,Kathmandu
Ready To Move,3 BHK,1596,3,3,127.68,Lalitpur
Ready To Move,3 BHK,1750,3,,208,Kathmandu
Ready To Move,4 Bedroom,2403,4,2,432,Bhaktapur
20-Dec,3 BHK,1350,3,2,75.6,Bhaktapur
Ready To Move,4 BHK,4050 - 4075,,,545.6,Kathmandu
18-Jul,2 BHK,1175,2,2,126.4,Lalitpur
Ready To Move,2 BHK,921,2,1,47.152,Kathmandu
Ready To Move,4 Bedroom,4000,4,2,1760,Kathmandu
Ready To Move,3 BHK,1713,3,3,200,Kathmandu
Ready To Move,2 BHK,1200,2,0,68.8,Bhaktapur
Ready To Move,3 Bedroom,1900,4,1,144,Kathmandu
Ready To Move,3 BHK,1664,3,2,108.8,Lalitpur
19-Dec,3 BHK,1795,3,2,222.4,Bhaktapur
Ready To Move,1 BHK,600,1,1,31.2,Bhaktapur
Ready To Move,2 BHK,1240,2,3,104,Kathmandu
Ready To Move,3 BHK,1965,4,2,211.2,Kathmandu
Ready To Move,3 Bedroom,600,4,0,158.4,Kathmandu
Ready To Move,4 Bedroom,4111,4,1,592,Bhaktapur
19-Dec,2 BHK,1200,2,2,95.616,Bhaktapur
Ready To Move,2 BHK,1112,2,3,108.8,Bhaktapur
Ready To Move,3 BHK,3000,3,2,96,Lalitpur
Ready To Move,2 BHK,1136,2,3,103.2,Lalitpur
Ready To Move,2 BHK,914,2,2,88,Lalitpur
Ready To Move,3 BHK,1270,2,1,81.264,Kathmandu
Ready To Move,2 BHK,1050,2,2,75.6,Bhaktapur
Ready To Move,3 BHK,1385,2,2,109.6,Lalitpur
Ready To Move,2 BHK,990,2,3,56,Bhaktapur
Ready To Move,2 BHK,845,2,2,68.8,Kathmandu
20-Sep,2 BHK,1485,2,1,154.416,Lalitpur
Ready To Move,3 BHK,1460,2,3,70.064,Kathmandu
Ready To Move,2 BHK,1450,2,1,91.2,Bhaktapur
Ready To Move,3 BHK,1360,2,1,84.8,Kathmandu
Ready To Move,2 BHK,1375,2,3,92.8,Bhaktapur
Ready To Move,2 BHK,1125,2,1,76.8,Kathmandu
Ready To Move,1 BHK,720,1,1,96,Kathmandu
Ready To Move,3 BHK,1460,2,2,160,Bhaktapur
Ready To Move,2 BHK,1107,2,2,64,Lalitpur
Ready To Move,2 BHK,1158,2,3,120,Bhaktapur
Ready To Move,2 BHK,800,1,1,48,Kathmandu
Ready To Move,9 Bedroom,600,9,,144,Bhaktapur
Ready To Move,3 BHK,1760,3,2,204.8,Kathmandu
Ready To Move,4 Bedroom,3200,4,2,320,Kathmandu
17-Dec,2 Bedroom,600,3,2,232,Lalitpur
Ready To Move,3 Bedroom,1350,3,1,96,Kathmandu
Ready To Move,6 Bedroom,600,6,3,160,Kathmandu
18-Dec,2 BHK,1125,2,1,51.984,Bhaktapur
Ready To Move,3 BHK,1706,3,3,246.4,Kathmandu
Ready To Move,3 BHK,1600,3,2,179.2,Bhaktapur
Ready To Move,2 BHK,1200,2,0,144,Kathmandu
Ready To Move,3 BHK,1755,3,3,161.6,Kathmandu
Ready To Move,2 BHK,1200,2,1,80,Bhaktapur
Ready To Move,2 BHK,1200,2,2,107.2,Kathmandu
Ready To Move,2 BHK,1266.67,2,0,110.4,Bhaktapur
Ready To Move,3 BHK,1800,3,2,144,Bhaktapur
Ready To Move,3 Bedroom,1200,4,1,440,Kathmandu
22-Dec,3 BHK,1300,3,2,102.4,Lalitpur
Ready To Move,3 Bedroom,800,3,3,96,Bhaktapur
Ready To Move,4 Bedroom,4800,5,2,880,Bhaktapur
18-May,2 BHK,942 - 1117,2,0,81.368,Bhaktapur
Ready To Move,2 BHK,1128,2,2,64,Kathmandu
Ready To Move,2 Bedroom,2000,2,1,256,Lalitpur
18-Mar,2 BHK,1210,2,1,128,Bhaktapur
18-Jul,4 BHK,2710,6,2,227.2,Bhaktapur
Ready To Move,2 BHK,1151,2,2,62.4,Bhaktapur
19-Jan,5 BHK,7500,8,3,2720,Bhaktapur
Ready To Move,3 BHK,1464,3,2,89.6,Lalitpur
Ready To Move,2 BHK,1017,2,2,43.2,Kathmandu
Ready To Move,2 BHK,920,2,1,64,Lalitpur
Ready To Move,4 Bedroom,1200,3,1,288,Kathmandu
Ready To Move,5 Bedroom,1000,5,2,224,Lalitpur
Ready To Move,3 BHK,1750,3,3,138.4,Lalitpur
Ready To Move,2 BHK,1163,2,1,104,Bhaktapur
Ready To Move,3 BHK,1650,3,3,176,Bhaktapur
Ready To Move,3 BHK,1800,3,3,152,Lalitpur
Ready To Move,2 BHK,1100,2,1,92.8,Bhaktapur
Ready To Move,2 BHK,1200,2,2,96,Kathmandu
Ready To Move,3 BHK,1410,3,2,104,Lalitpur
19-Jun,3 BHK,1933,3,2,156.8,Lalitpur
Ready To Move,2 BHK,1200,2,2,72.96,Lalitpur
Ready To Move,3 BHK,1608,2,3,100.8,Kathmandu
Ready To Move,4 Bedroom,2679,5,2,448,Kathmandu
Ready To Move,2 BHK,1156,2,2,75.04,Bhaktapur
18-Mar,2 Bedroom,1230,2,0,120,Kathmandu
Ready To Move,1 BHK,770,1,1,70.112,Bhaktapur
Ready To Move,3 BHK,1777.26,3,2,168,Lalitpur
Ready To Move,2 BHK,1339,2,2,136,Lalitpur
18-Mar,3 Bedroom,3044,3,2,292.8,Bhaktapur
Ready To Move,2 BHK,1080,2,2,71.68,Lalitpur
Ready To Move,8 Bedroom,3150,5,2,232,Kathmandu
Ready To Move,2 Bedroom,2400,2,2,216,Bhaktapur
Ready To Move,3 BHK,1450,3,3,115.2,Kathmandu
18-Mar,2 BHK,1075,2,2,84.8,Bhaktapur
Ready To Move,3 BHK,1163,2,2,99.2,Lalitpur
Ready To Move,2 Bedroom,1200,2,0,104,Kathmandu
Ready To Move,8 Bedroom,1200,8,1,216,Lalitpur
Ready To Move,4 Bedroom,3090,4,,520,Kathmandu
Ready To Move,2 BHK,1299,2,1,160,Kathmandu
18-Dec,2 BHK,1130,2,1,52.208,Kathmandu
Ready To Move,2 BHK,1170,2,2,120,Bhaktapur
18-Mar,3 BHK,1750 - 2640,,,243.2,Bhaktapur
Ready To Move,4 BHK,2600,4,3,280,Lalitpur
Ready To Move,2 BHK,1140,2,1,69.312,Lalitpur
Ready To Move,3 BHK,1900,3,3,200,Lalitpur
18-Jul,2 BHK,1090,2,1,50.368,Lalitpur
Ready To Move,2 BHK,1110,2,1,63.92,Lalitpur
18-Jan,1 BHK,705,1,1,91.2,Lalitpur
Ready To Move,2 BHK,1089,2,1,96,Lalitpur
Ready To Move,2 Bedroom,880,2,1,76.8,Lalitpur
Ready To Move,2 BHK,1080,2,2,51.2,Bhaktapur
18-Feb,2 BHK,1093,2,1,108.96,Kathmandu
18-Oct,3 BHK,1480,3,1,120.768,Lalitpur
Ready To Move,3 BHK,1703,3,2,200,Bhaktapur
Ready To Move,2 BHK,1200,2,1,96,Bhaktapur
Ready To Move,3 BHK,1690,3,2,185.6,Bhaktapur
Ready To Move,2 BHK,1305,2,1,124.8,Kathmandu
18-Sep,3 BHK,1257,2,2,64.352,Bhaktapur
Ready To Move,2 BHK,1150,2,2,72,Kathmandu
Ready To Move,2 BHK,1194,2,0,88,Lalitpur
Ready To Move,3 Bedroom,2000,3,1,144,Lalitpur
Ready To Move,3 Bedroom,1500,4,1,158.4,Kathmandu
Ready To Move,2 BHK,1025,2,0,68,Bhaktapur
Ready To Move,2 BHK,980,2,1,61.104,Bhaktapur
Ready To Move,3 Bedroom,1200,2,1,160,Lalitpur
Ready To Move,3 BHK,2225,3,1,238.4,Lalitpur
Ready To Move,2 BHK,1022,2,2,91.2,Lalitpur
Ready To Move,4 Bedroom,882,3,0,115.2,Lalitpur
Ready To Move,2 BHK,1153,2,2,72,Kathmandu
Ready To Move,2 BHK,1175,2,2,96,Lalitpur
Ready To Move,3 BHK,1560,3,3,108.8,Bhaktapur
Ready To Move,1 BHK,650,1,1,27.2,Bhaktapur
Ready To Move,3 Bedroom,600,3,2,104,Kathmandu
Ready To Move,2 BHK,1350,3,2,88,Bhaktapur
Ready To Move,2 Bedroom,1200,2,1,121.6,Bhaktapur
Ready To Move,2 BHK,1200,1,1,86.4,Kathmandu
Ready To Move,2 BHK,800,2,1,40,Bhaktapur
20-Dec,4 BHK,2093,4,1,166.4,Lalitpur
18-Oct,3 BHK,1320,2,2,88.704,Bhaktapur
Ready To Move,2 BHK,1275,2,1,116.8,Lalitpur
Ready To Move,2 BHK,1215,2,2,69.008,Lalitpur
Ready To Move,2 BHK,1130,2,1,72.32,Bhaktapur
Ready To Move,3 BHK,1444,2,2,114.4,Lalitpur
Ready To Move,2 BHK,950,2,2,60.8,Kathmandu
Ready To Move,2 BHK,1000,1,,144,Lalitpur
Ready To Move,3 BHK,1240,2,2,95.232,Lalitpur
Ready To Move,4 Bedroom,600,4,2,200,Kathmandu
Ready To Move,2 BHK,1231,2,2,80,Lalitpur
Ready To Move,2 BHK,1300,2,1,192,Lalitpur
18-Aug,3 BHK,1713,3,2,176,Lalitpur
Ready To Move,2 BHK,1200,2,1,85.328,Kathmandu
Ready To Move,3 Bedroom,3004,4,,252.8,Kathmandu
Ready To Move,3 BHK,1310,2,0,73.6,Bhaktapur
Ready To Move,2 BHK,790,2,1,79.2,Lalitpur
Ready To Move,3 BHK,1744,3,1,320,Kathmandu
Ready To Move,3 BHK,1605,3,2,160,Bhaktapur
Ready To Move,2 BHK,1250,2,2,131.2,Lalitpur
Ready To Move,3 BHK,2476,3,3,539.2,Lalitpur
Ready To Move,3 BHK,1260,2,2,121.6,Bhaktapur
18-Aug,3 BHK,1615,3,1,280,Kathmandu
Ready To Move,2 BHK,1180,2,1,89.6,Kathmandu
Ready To Move,3 BHK,1255,2,2,80.304,Bhaktapur
Ready To Move,2 BHK,1025,2,1,86.24,Kathmandu
Ready To Move,3 BHK,1877,4,2,240,Lalitpur
Ready To Move,3 BHK,1649,3,2,240,Lalitpur
Ready To Move,9 Bedroom,2600,12,,1080,Bhaktapur
Ready To Move,5 Bedroom,2500,5,2,200,Lalitpur
Ready To Move,3 BHK,1542,3,2,156.8,Kathmandu
Ready To Move,2 BHK,1418,2,2,168,Bhaktapur
Ready To Move,2 BHK,1012,2,0,67.2,Bhaktapur
Ready To Move,2 Bedroom,1200,2,1,104,Kathmandu
Ready To Move,2 BHK,1115,2,2,68.8,Bhaktapur
Ready To Move,3 BHK,1680,4,3,152,Kathmandu
Ready To Move,2 BHK,1171,2,2,115.2,Lalitpur
Ready To Move,2 BHK,1027,2,1,109.792,Kathmandu
Ready To Move,3 BHK,1700,3,3,120,Kathmandu
Ready To Move,2 BHK,1090,2,2,61.04,Kathmandu
18-Jan,2 BHK,1232,2,1,118.4,Lalitpur
Ready To Move,2 BHK,766,2,2,44.8,Kathmandu
Ready To Move,5 Bedroom,1200,5,0,288,Bhaktapur
21-Dec,1 BHK,525,1,1,43.2,Lalitpur
18-Aug,3 BHK,142.61Sq. Meter,3,1,174.4,Kathmandu
Ready To Move,3 BHK,1452,2,1,65.6,Kathmandu
Ready To Move,3 BHK,1254,2,1,104,Bhaktapur
Ready To Move,5 Bedroom,3600,5,0,176,Bhaktapur
